Sprint,Day,Remaining_SP,Ideal_SP,Note
Sprint 1,0,21,21,Sprint start
Sprint 1,1,18,17.5,
Sprint 1,2,14,14,
Sprint 1,3,10,10.5,
Sprint 1,4,6,7,
Sprint 1,5,2,3.5,
Sprint 1,6,0,0,Sprint close Done
Sprint 2,0,24,24,Excel heavy sprint
Sprint 2,1,22,20,
Sprint 2,2,18,16,
Sprint 2,3,14,12,
Sprint 2,4,10,8,
Sprint 2,5,6,4,
Sprint 2,6,2,0,Carry small polish to S3; core Done
Sprint 3,0,18,18,
Sprint 3,1,15,15,
Sprint 3,2,12,12,
Sprint 3,3,8,9,
Sprint 3,4,5,6,
Sprint 3,5,2,3,
Sprint 3,6,0,0,Done under plan
Sprint 4,0,18,18,
Sprint 4,1,15,15,
Sprint 4,2,12,12,
Sprint 4,3,9,9,
Sprint 4,4,5,6,
Sprint 4,5,2,3,
Sprint 4,6,0,0,CI green Done
Sprint 5,0,42,42,Phase2 Strategy dual-track PDA E2E IaC
Sprint 5,3,30,28,
Sprint 5,7,18,18,
Sprint 5,12,8,8,
Sprint 5,16,0,0,Phase2 Done
